Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,Comments,isPopularStream,Stream
0.324,0.681,7,-4.697,0.0373,0.24,0.354,0.0783,0.294,132.993,208867,65438,719,0,79602192
0.789,0.72,1,-7.213,0.271,0.000872,0.000714,0.378,0.212,141.506,140038,1202965,14742,0,108097385
0.282,0.148,2,-17.055,0.0386,0.339,8.39E-05,0.144,0.0817,138.153,124627,6294,10,0,35077839
0.558,0.664,10,-6.435,0.0453,0.648,0,0.132,0.778,95.035,267000,3938,144,0,1568072
0.234,0.346,8,-10.975,0.0309,0.555,0.744,0.11,0.0994,76.387,274667,82849,3528,0,5071369
0.832,0.74,0,-4.862,0.214,0.101,0,0.339,0.714,90.045,238565,568350,1929,0,108781348
0.743,0.705,7,-2.259,0.296,0.113,0,0.0704,0.26,86.554,177231,766290,9207,0,26221054
0.605,0.747,0,-7.217,0.196,0.00784,0,0.126,0.325,129.97,200769,34895,151,0,12503450
0.585,0.843,11,-6.954,0.0546,0.646,1.16E-05,0.922,0.795,141.921,189800,325269,3354,0,17136581
0.67,0.896,1,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,383147,5543,1,353138077
0.44,0.317,8,-9.258,0.0531,0.891,4.78E-06,0.141,0.268,169.914,233456,1757819,51965,1,769993739
0.684,0.455,5,-8.216,0.0307,0.215,1.08E-06,0.263,0.487,97.956,216893,482038,15942,1,145772934
0.781,0.696,2,-6.069,0.113,0.137,0.00424,0.573,0.293,107.996,171466,332519,6984,0,29170435
0.647,0.906,0,-3.803,0.0374,0.0337,0,0.116,0.73,106.485,250773,73544,2191,0,11273712
0.823,0.822,1,-5.323,0.0334,0.113,4.57E-05,0.0688,0.938,125.026,211377,456039,25295,0,86634576
0.4,0.037,8,-20.456,0.0503,0.957,4.22E-05,0.0964,0.316,77.936,233557,56042,992,0,19028874
0.281,0.866,0,-10.628,0.0647,0.122,0.00355,0.324,0.42,193.928,150467,81665,2564,0,92649112
0.804,0.946,7,-5.949,0.352,0.002,0,0.359,0.745,150.141,146880,165406,2831,0,92816565
0.595,0.613,5,-5.066,0.0514,0.63,0,0.129,0.833,156.017,187147,4626,263,0,6586316
0.245,0.425,9,-8.379,0.0324,0.914,0.646,0.116,0.254,203.816,137092,10901,65,0,19637984
0.725,0.487,8,-5.959,0.0368,0.26,1.09E-05,0.431,0.599,136.086,296693,1112656,24051,1,143431200
0.621,0.782,2,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,198938,5202137,146196,1,991461139
0.689,0.808,0,-3.28,0.0572,0.0721,0,0.241,0.674,91.012,207680,6354608,165760,1,622083603
0.731,0.863,5,-2.711,0.0369,0.233,0.000375,0.377,0.856,115.292,186373,55754,465,0,12481852
0.601,0.75,2,-6.626,0.032,0.00512,0.00789,0.336,0.736,94.004,230853,80544,2972,0,67589797
0.519,0.46,11,-14.53,0.0688,0.823,5.97E-05,0.243,0.675,132.082,178200,33010,821,1,164400411
0.583,0.712,3,-8.222,0.0538,0.263,1.02E-06,0.817,0.614,128.897,181267,22103,680,1,155540579
0.47,0.566,2,-5.425,0.0265,0.537,1.11E-06,0.164,0.168,135.595,245233,193137,9439,0,31630071
0.7,0.794,11,-4.679,0.0533,0.202,0,0.426,0.82,94.985,232533,61443,7115,0,23202328
0.774,0.824,0,-5.961,0.0367,0.22,0,0.286,0.93,112.517,242187,112003,3834,0,118247658
0.458,0.948,5,-4.759,0.0901,0.00013,0,0.194,0.502,160.033,208979,15407,375,0,4922124
0.658,0.677,5,-6.628,0.0393,0.248,0,0.368,0.248,124.91,251627,904099,32701,1,208977128
0.753,0.836,1,-5.506,0.044,0.101,0.000896,0.118,0.661,121.95,160850,1459,41,0,3754400
0.398,0.939,9,-2.865,0.0648,0.00591,0.000881,0.357,0.235,92.027,342821,2607369,105721,1,289911594
0.764,0.816,9,-5.551,0.0338,0.00362,0,0.136,0.894,120.456,207133,17435,373,0,72590830
0.585,0.724,9,-5.611,0.0967,0.445,0,0.1,0.547,162.05,213543,124204,1548,0,72401339
