Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,Comments,isPopularViews,Views
0.766,0.26,4,-11.19,0.0558,0.674,2.47E-06,0.13,0.305,124.838,162296,279,8,0,5186
0.352,0.424,6,-10.131,0.0394,0.733,2.30E-05,0.0664,0.141,127.047,302951,686114,33515,0,31452388
0.333,0.863,7,-6.918,0.0515,0.0518,0,0.972,0.384,110.162,318867,51130,3572,0,7198386
0.416,0.178,11,-11.428,0.031,0.912,0.000138,0.342,0.0699,139.969,220360,19248,972,0,2647228
0.673,0.729,6,-4.879,0.0496,0.083,0,0.1,0.675,122.023,169672,54291,752,0,3966598
0.615,0.319,4,-9.178,0.0376,0.639,0,0.142,0.828,90.998,86760,616,18,0,106746
0.512,0.636,3,-8.087,0.0469,0.113,3.80E-05,0.104,0.312,121.431,267256,8933,233,0,529632
0.5,0.748,4,-9.072,0.0363,0.127,0,0.447,0.514,118.852,250987,4550,347,0,643260
0.896,0.617,0,-10.482,0.0578,0.0393,0.012,0.213,0.96,140.241,207737,39067,2120,0,18820418
0.889,0.618,5,-5.124,0.0627,0.367,0.00438,0.105,0.444,130.021,247385,223288,4574,0,26463974
0.612,0.661,5,-5.175,0.133,0.163,0,0.103,0.659,172.467,267130,32734,457,0,906150
0.384,0.779,9,-5.081,0.335,0.553,0.000317,0.489,0.526,168.513,265750,620679,7265,0,90440710
0.457,0.83,5,-5.262,0.0321,0.00682,0.00337,0.166,0.602,99.93,182040,440651,17244,0,67878657
0.258,0.385,6,-8.143,0.033,0.0527,0,0.0802,0.174,174.167,252293,3317,78,0,420736
0.43,0.606,4,-5.115,0.0431,0.131,0,0.173,0.123,169.988,211680,6258451,234057,1,671812360
0.692,0.871,8,-5.963,0.102,0.189,0,0.2,0.535,137.886,182168,35258,2434,0,2724954
0.625,0.814,0,-5.181,0.0657,0.0172,0,0.158,0.535,144.991,205485,1202411,64328,0,79152030
0.761,0.551,1,-7.034,0.103,0.15,1.15E-06,0.0768,0.351,129.972,300188,1458386,32943,1,317814703
0.533,0.739,5,-3.573,0.0602,0.029,0,0.266,0.617,81.37,234307,45202,1521,0,3090230
0.909,0.785,5,-3.648,0.0637,0.248,3.55E-06,0.228,0.903,96.984,200707,3592697,141659,1,637329131
0.675,0.987,1,-3.191,0.0346,0.0096,0.00374,0.219,0.959,128.673,213400,268558,6847,1,117961418
0.682,0.446,10,-8.152,0.0596,0.0995,0.00172,0.431,0.746,104.855,169973,63117,2783,0,2601231
0.667,0.831,11,-7.94,0.0937,0.427,0,0.336,0.832,106.01,318093,631675,18449,1,111915407
0.646,0.642,0,-6.19,0.0412,0.00028,0.0225,0.0341,0.376,128.992,273493,3607,79,0,295218
0.503,0.643,6,-6.494,0.0407,0.0261,2.27E-05,0.314,0.43,169.955,194417,6882,229,0,518866
0.443,0.781,1,-4.277,0.0377,1.33E-05,0.205,0.166,0.372,71.841,214760,265625,9783,0,34336850
0.835,0.765,1,-7.831,0.0681,0.475,0.0692,0.12,0.855,110.282,301026,217083,5542,0,19514708
0.687,0.51,10,-8.501,0.076,0.745,0,0.117,0.666,122.253,188613,19276,481,0,1447086
0.396,0.527,10,-8.658,0.0435,0.371,0.000306,0.166,0.165,185.807,295520,112740,10032,0,26353588
0.499,0.468,1,-11.023,0.522,0.703,0,0.167,0.719,163.117,107253,1005,78,0,30948
0.376,0.95,9,-4.067,0.0641,0.00021,0,0.0377,0.438,178.018,179160,144696,2810,0,13951714
0.652,0.649,1,-9.143,0.335,0.544,0,0.118,0.557,100.465,215394,198557,6855,0,9422983
0.684,0.693,4,-6.651,0.0339,0.00534,0,0.506,0.108,134.988,135122,305441,10570,0,20005149
0.732,0.573,11,-5.733,0.0237,0.56,9.34E-06,0.0543,0.882,97.502,152923,939528,29748,1,150072255
0.552,0.638,1,-7.474,0.11,0.387,0.00014,0.374,0.332,167.834,180019,1409376,50938,0,86167869
0.761,0.813,2,-6.018,0.0299,0.322,0.00219,0.0588,0.878,113.415,252960,50261,856,0,11796456
0.394,0.622,4,-8.258,0.0336,0.213,4.45E-05,0.0892,0.342,126.844,221427,110890,4411,0,9389789
0.557,0.597,5,-8.296,0.048,0.646,0,0.0974,0.414,78.526,175238,51026,916,0,6651096
0.613,0.885,10,-7.463,0.052,0.0804,0.746,0.0997,0.919,118.506,263213,149590,4016,0,15769250
0.762,0.745,7,-5.212,0.222,0.333,0,0.0943,0.853,139.98,265653,12916,411,0,1532854
0.703,0.573,0,-9.032,0.0724,0.565,3.13E-06,0.0987,0.491,147.038,143830,16723,224,0,771246
0.338,0.103,1,-21.472,0.0315,0.798,0.00129,0.124,0.04,98.531,310733,1160,50,0,103644
0.496,0.451,9,-5.563,0.0278,0.82,0.000119,0.0597,0.455,100.296,171640,18150,477,0,3838898
0.808,0.717,0,-7.768,0.13,0.612,2.50E-06,0.0949,0.824,96.981,216171,129975,4905,0,30255345
0.532,0.943,7,-4.549,0.0512,0.0056,0.000587,0.317,0.371,140.042,294800,58087,3000,0,10374199
0.667,0.723,2,-5.879,0.0309,0.0591,0,0.254,0.801,117.571,216613,2010,58,0,246848
0.753,0.836,1,-5.506,0.044,0.101,0.000896,0.118,0.661,121.95,160850,1459,41,0,154288
0.561,0.0848,2,-15.099,0.0404,0.913,2.62E-05,0.112,0.206,102.128,219147,312970,6169,0,16052311
0.59,0.687,1,-7.725,0.101,0.658,0.00016,0.117,0.843,192.123,154120,4704,123,0,210243
0.559,0.301,2,-10.522,0.0294,0.708,0.000561,0.152,0.25,125.584,270680,1099163,43811,1,249882562
0.371,0.979,1,-2.701,0.144,0.0002,3.67E-06,0.516,0.473,196.058,212547,5006,121,0,114545
0.751,0.669,3,-3.228,0.0478,0.825,7.56E-05,0.0834,0.695,90.028,186333,154184,2762,0,20220735
0.916,0.849,3,-5.034,0.0639,0.166,0.000193,0.0859,0.974,121.002,255773,937061,24156,1,148816999
0.825,0.761,8,-5.389,0.104,0.0111,0.00359,0.334,0.161,149.97,163371,406445,7773,0,33414150
0.724,0.736,2,-6.066,0.0523,0.449,0,0.105,0.955,120.006,191773,478,39,0,93571
0.629,0.808,9,-4.125,0.0269,0.00898,9.06E-06,0.0751,0.773,110.001,179293,58063,1256,0,15444771
0.649,0.438,9,-12.859,0.0357,0.911,0.759,0.136,0.932,149.897,122760,29685,381,0,3833140
0.636,0.936,7,-2.65,0.0729,0.177,0,0.0879,0.415,124.034,171955,70805,1365,0,6236073
0.811,0.726,0,-3.995,0.0813,0.154,0,0.116,0.666,131.027,264920,421016,15336,0,48419847
0.568,0.832,4,-3.358,0.0333,0.29,0,0.204,0.48,92.452,259720,98509,2908,0,29779477
0.422,0.609,11,-6.361,0.0335,0.0114,4.76E-06,0.108,0.0911,107.34,230011,334977,4037,0,28800465
0.427,0.813,0,-9.02,0.0737,0.0713,0.109,0.873,0.344,106.859,134267,58293,1658,0,8726119
0.132,0.0195,0,-29.76,0.0445,0.993,0.888,0.0569,0.14,81.616,163267,68858,1420,0,7523761
0.823,0.563,6,-5.095,0.0443,0.0399,0,0.0851,0.682,98.031,225227,2269460,49881,1,335979832
0.699,0.595,1,-11.011,0.948,0.314,0,0.365,0.593,84.856,194640,674,23,0,133311
0.776,0.565,7,-10.609,0.105,0.36,8.81E-05,0.308,0.53,107.035,216992,293137,9536,0,20744684
0.785,0.498,1,-6.977,0.0533,0.00248,1.23E-06,0.224,0.418,143.96,201587,282704,12738,0,62485334
0.803,0.862,7,-4.729,0.0668,0.256,3.89E-06,0.135,0.884,97.002,237187,172462,6459,0,21853670
0.234,0.526,2,-11.656,0.0411,0.871,2.34E-06,0.122,0.649,201.739,151000,21556,1075,0,3033061
0.59,0.552,0,-8.422,0.388,0.5,0,0.12,0.241,167.854,208568,231434,3786,0,27945987
0.265,0.312,7,-11.689,0.0569,0.243,0,0.0893,0.0998,54.747,269453,195179,0,0,19733123
0.798,0.534,1,-12.718,0.0394,0.155,0.0013,0.113,0.848,114.75,286960,201,17,0,10637
0.734,0.676,10,-0.007,0.047,0.314,0,0.0646,0.774,146.181,220587,437777,5916,0,91365348
0.734,0.355,10,-10.605,0.083,0.296,0.000135,0.124,0.584,193.922,168240,385947,8475,0,32301569
0.271,0.165,5,-20.652,0.0351,0.729,1.60E-06,0.118,0.203,77.082,139227,119456,4058,0,5590762
0.687,0.832,8,-4.434,0.0366,0.0931,1.32E-06,0.183,0.448,123.036,214547,418537,3309,0,40344672
0.564,0.717,10,-6.403,0.397,0.097,0,0.493,0.423,117.489,284831,2661284,46803,1,244371422
0.53,0.683,2,-7.13,0.0313,0.234,0.311,0.274,0.694,174.441,472400,89088,2653,0,26952528
0.924,0.74,8,-1.299,0.0774,0.0827,0,0.163,0.621,133.974,222293,1505962,53190,1,201863792
0.671,0.782,7,-6.498,0.047,0.0122,0,0.525,0.62,95.011,214307,194383,19919,0,18454306
0.617,0.923,6,-7.568,0.11,0.731,0.0483,0.115,0.752,139.083,270048,15599,140,0,364377
0.924,0.716,8,-7.158,0.0541,0.0177,1.15E-06,0.128,0.48,119.973,122880,205067,5992,0,6768859
0.776,0.633,10,-4.517,0.42,0.628,0,0.108,0.28,85.618,142274,4124,319,0,74622
0.549,0.969,1,-2.763,0.049,1.16E-05,0.106,0.104,0.348,101.055,204827,3776,306,0,619501
0.713,0.802,4,-7.055,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,749391,14114,1,139712325
0.626,0.88,9,-2.384,0.0504,0.205,0,0.128,0.534,95.079,202621,11864322,301291,1,994084110
0.172,0.0696,11,-21.295,0.0339,0.916,0.00199,0.137,0.103,167.974,298133,28977,869,0,3386164
0.704,0.597,9,-9.128,0.0493,0.472,0.562,0.082,0.785,83.037,271027,27302,2041,0,2789861
0.49,0.432,3,-9.327,0.0298,0.639,0,0.104,0.367,153.753,225573,1466,54,0,102064
0.396,0.338,0,-10.872,0.0304,0.198,2.62E-06,0.138,0.377,133.522,182293,675186,26651,1,96849734
0.6,0.139,7,-8.975,0.0464,0.811,9.50E-06,0.0918,0.256,171.041,240907,1130146,23767,1,105473489
0.856,0.709,3,-7.432,0.222,0.349,0.000209,0.225,0.856,110.009,279500,4903554,203796,1,455272437
0.483,0.847,9,-3.57,0.0419,0.116,0,0.0707,0.408,153.856,191653,120756,15474,0,1769326
0.438,0.805,8,-6.237,0.0624,0.00255,5.69E-05,0.0842,0.564,113.253,240800,1019,74,0,51665
0.485,0.703,7,-5.921,0.0365,0.182,0,0.348,0.422,149.915,224327,16761,736,0,1789903
0.801,0.533,3,-6.198,0.222,0.707,4.28E-05,0.125,0.626,121.959,157619,5985,113,0,291809
0.432,0.695,1,-8.022,0.111,0.732,0.0014,0.274,0.513,116.153,290053,265586,4217,0,20117583
0.599,0.732,5,-6.843,0.026,0.0145,0.000467,0.143,0.295,97.997,263867,1299086,31150,1,316688049
0.687,0.43,9,-10.31,0.0407,0.6,2.49E-06,0.132,0.241,115.01,369333,15440,427,0,1016043
0.791,0.677,5,-9.724,0.0356,0.776,0.00121,0.224,0.876,110.64,349280,70975,3706,0,15874224
0.348,0.536,5,-5.76,0.0313,0.34,0,0.209,0.199,150.586,250000,352973,7956,0,44480558
0.462,0.402,0,-13.792,0.0353,0.825,0,0.189,0.7,148.956,157000,9106,247,0,1816664
0.47,0.859,2,-3.663,0.0537,0.000362,0.00691,0.142,0.17,124.01,317707,497,40,0,17205
0.746,0.731,10,-7.234,0.269,0.0523,0,0.301,0.599,143.058,284665,1534,81,0,235352
0.531,0.916,9,-4.655,0.0403,0.0227,0,0.336,0.896,160.024,258680,93640,2582,0,15502785
0.741,0.508,11,-5.099,0.0507,0.0347,6.45E-05,0.0602,0.354,121.965,270760,139229,3378,0,6471224
0.758,0.669,1,-3.838,0.0388,0.00659,0,0.0657,0.96,132.51,171901,129102,6973,0,3119848
0.665,0.599,7,-5.082,0.0264,0.222,0,0.123,0.629,142.975,164467,359147,5282,0,75619943
0.434,0.507,5,-10.422,0.0358,0.565,0,0.161,0.236,115.309,237107,169319,4623,0,34915172
0.683,0.638,4,-10.8,0.0567,0.441,0.000131,0.121,0.509,157.931,224133,11851,189,0,4429977
0.848,0.768,6,-5.386,0.0373,0.0412,0.000785,0.195,0.777,118.961,176767,176832,2214,0,17890572
0.586,0.591,9,-8.332,0.0299,0.698,0,0.959,0.565,95.603,287267,195154,4194,0,31910079
0.511,0.126,7,-20.852,0.0374,0.895,0.869,0.102,0.403,103.997,123158,106,15,0,2798
0.746,0.896,6,-4.015,0.227,0.246,9.78E-06,0.124,0.133,125.939,205714,18460,391,0,1777527
0.6,0.356,4,-7.725,0.0586,0.426,0,0.379,0.542,67.164,202093,14467,222,0,2572387
0.468,0.779,9,-4.839,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,1964768,31983,1,151276432
0.666,0.547,11,-8.706,0.0643,0.145,0.000274,0.0987,0.165,117.991,195252,73442,1674,0,2983517
0.773,0.863,1,-5.84,0.0491,0.0413,3.10E-06,0.0742,0.296,109.008,248693,78463,2970,0,19337939
